1-2-2015, assn1,, 1-1-2015, late
2-2-2015, assn2,, 2-1-2015, late
3-2-2015, assn3,, 3-1-2015, late
4-2-2015, assn4,, 4-1-2015, late
5-2-2015, assn5,, 5-1-2015, late
6-2-2015, assn6,, 6-1-2015, late
7-2-2015, assn7,, 7-1-2015, late
8-2-2015, assn8,, 8-1-2015, late
9-2-2015, assn9,, 9-1-2015, late
10-2-2015, assn10,, 10-1-2015, late
11-2-2015, assn11,, 11-1-2015, late
1-3-2015, assn12,, 1-2-2015, assigned
2-3-2015, assn13,, 2-2-2015, assigned
3-3-2015, assn14,, 3-2-2015, assigned
4-3-2015, assn15,, 4-2-2015, assigned
5-3-2015, assn16,, 5-2-2015, assigned
6-3-2015, assn17,, 6-2-2015, assigned
7-3-2015, assn18,, 7-2-2015, assigned
8-3-2015, assn19,, 8-2-2015, assigned
9-3-2015, assn20,, 9-2-2015, assigned
10-3-2015, assn21,, 10-2-2015, assigned
11-3-2015, assn22,, 11-2-2015, assigned
1-4-2015, assn23,, 1-3-2015, completed
2-4-2015, assn24,, 2-3-2015, completed
3-4-2015, assn25,, 3-3-2015, completed
4-4-2015, assn26,, 4-3-2015, completed
5-4-2015, assn27,, 5-3-2015, completed
6-4-2015, assn28,, 6-3-2015, completed
7-4-2015, assn29,, 7-3-2015, completed
8-4-2015, assn30,, 8-3-2015, completed
9-4-2015, assn31,, 9-3-2015, completed
10-4-2015, assn32,, 10-3-2015, completed
11-4-2015, assn33,, 11-3-2015, completed
1-5-2015, assn34,, 1-4-2015, assigned
2-5-2015, assn35,, 2-4-2015, assigned
3-5-2015, assn36,, 3-4-2015, assigned
4-5-2015, assn37,, 4-4-2015, assigned
5-5-2015, assn38,, 5-4-2015, assigned
6-5-2015, assn39,, 6-4-2015, assigned
7-5-2015, assn40,, 7-4-2015, assigned
8-5-2015, assn41,, 8-4-2015, assigned
9-5-2015, assn42,, 9-4-2015, assigned
10-5-2015, assn43,, 10-4-2015, assigned
11-5-2015, assn44,, 11-4-2015, assigned
1-6-2015, assn45,, 1-5-2015, late
2-6-2015, assn46,, 2-5-2015, late
3-6-2015, assn47,, 3-5-2015, late
4-6-2015, assn48,, 4-5-2015, late
5-6-2015, assn49,, 5-5-2015, late
6-6-2015, assn50,, 6-5-2015, late
7-6-2015, assn51,, 7-5-2015, late
8-6-2015, assn52,, 8-5-2015, late
9-6-2015, assn53,, 9-5-2015, late
10-6-2015, assn54,, 10-5-2015, late
11-6-2015, assn55,, 11-5-2015, late
1-7-2015, assn56,, 1-6-2015, assigned
